x	I^2(x)
1.035	.3941394719
1.036	.3942209379
1.037	.3943022182
1.038	.3943833136
1.039	.3944642237
1.040	.3945449501
1.041	.3946254906
1.042	.3947058498
1.043	.3947860249
1.044	.3948660182
1.045	.3949458300
1.046	.3950254603
1.047	.3951049099
1.048	.3951841790
1.049	.3952632680
1.050	.3953421782
1.051	.3954209097
1.052	.3954994628
1.053	.3955778391
1.054	.3956560364
1.055	.3957340580
1.056	.3958119028
1.057	.3958895723
1.058	.3959670669
1.059	.3960443861
1.060	.3961215317
1.061	.3961985031
1.062	.3962753007
1.063	.3963519268
1.064	.3964283801
1.065	.3965046609
1.066	.3965807704
1.067	.3966567092
1.068	.3967324786
1.069	.3968080766
1.070	.3968835056
1.071	.3969587662
1.072	.3970338577
1.073	.3971087819
1.074	.3971835373
1.075	.3972581275
1.076	.3973325497
1.077	.3974068055
1.078	.3974808957
1.079	.3975548207
1.080	.3976285826
1.081	.3977021778
1.082	.3977756106
1.083	.3978488794
1.084	.3979219853
1.085	.3979949285
1.086	.3980677110
1.087	.3981403309
1.088	.3982127897
1.089	.3982850884
1.090	.3983572253
1.091	.3984292040
1.092	.3985010224
1.093	.3985726819
1.094	.3986441831
1.095	.3987155267
1.096	.3987867126
1.097	.3988577408
1.098	.3989286129
1.099	.3989993278
1.100	.3990698874
1.101	.3991402918
1.102	.3992105412
1.103	.3992806351
1.104	.3993505755
1.105	.3994203626
1.106	.3994899960
1.107	.3995594755
1.108	.3996288045
1.109	.3996979800
1.110	.3997670044
1.111	.3998358774
1.112	.3999045994
1.113	.3999731713
1.114	.4000415935
1.115	.4001098663
1.116	.4001779884
1.117	.4002459642
1.118	.4003137900
1.119	.4003814677
1.120	.4004489983
1.121	.4005163815
1.122	.4005836186
1.123	.4006507095
1.124	.4007176544
1.125	.4007844533
1.126	.4008511077
1.127	.4009176168
1.128	.4009839820
1.129	.4010502028
1.130	.4011162802
1.131	.4011822145
1.132	.4012480066
1.133	.4013136560
1.134	.4013791622
1.135	.4014445286
1.136	.4015097533
1.137	.4015748363
1.138	.4016397797
1.139	.4017045825
1.140	.4017692462
1.141	.4018337705
1.142	.4018981555
1.143	.4019624016
1.144	.4020265100
